;word;frequency;category;;Colors
5994;sustainabl;10;climate;;
6034;keeptheseaplasticfree;10;climate;;
6049;greatbarrierreef;10;climate;;
6059;earthdayswtich;10;climate;;
6078;parentsforfuture;9;climate;;
6106;xrcanterbury;9;climate;;
6107;systemchangeemergency;9;climate;;
6127;theairwegrieve;9;climate;;
6134;climateem;9;climate;;
6135;bigoil;9;climate;;
6143;wecanworkitout;9;climate;;
6154;cleanupyouract;9;climate;;
6163;emerg;9;climate;;
6165;homemade;9;climate;;
6169;thehourglass;9;climate;;
6202;flightfree;9;climate;;
6213;extinctionrebellionlondon;9;climate;;
6236;ecolo;9;climate;;
6251;savecongoforest;9;climate;;
6272;environman;9;climate;;
6310;circulareconomy;9;climate;;
6343;climateassembly;9;climate;;
6347;extinctionrebell;9;climate;;
6355;foodwaste;9;climate;;
6367;carbonemission;9;climate;;
6377;ecologica;9;climate;;
6391;plasticwaste;9;climate;;
6396;loveyourplanet;9;climate;;
6440;crossland;9;climate;;
6461;standforthetree;9;climate;;
6470;treemageddon;9;climate;;
6483;urgewald;9;climate;;
6392;joaquinphoenix;9;climate;;
6509;biodegradable;8;climate;;
6511;reforestation;8;climate;;
6520;orangutan;8;climate;;
6526;planetarycrisis;8;climate;;
6565;demandsbill;8;climate;;
6566;biological;8;climate;;
6568;stopairportexpansion;8;climate;;
6597;vegetation;8;climate;;
6598;decentralised;8;climate;;
6612;globalwarme;8;climate;;
6643;ecofriendly;8;climate;;
6658;privatization;8;climate;;
6659;sixthmassextinction;8;climate;;
6660;savecongorainforest;8;climate;;
6661;rainy;8;climate;;
6697;stopbristolairport;8;climate;;
6716;wildliferebellion;8;climate;;
6742;australianbushfires;8;climate;;
6749;organism;8;climate;;
6750;growing;8;climate;;
6751;aboriginal;8;climate;;
6766;overpopulation;8;climate;;
6801;airliner;8;climate;;
6807;regenerativeagriculture;8;climate;;
6819;environmenta;8;climate;;
6841;stopthemoneypipeline;8;climate;;
6902;disobedience;8;climate;;
6903;notoplastic;8;climate;;
6905;everyactioncount;8;climate;;
6980;disposable;8;climate;;
6986;xrwinchester;8;climate;;
7040;thirddemand;8;climate;;
7042;peoplenotpolluter;8;climate;;
7044;planetofthehuman;8;climate;;
7048;botanist;8;climate;;
7052;cleanairforgood;8;climate;;
6760;bushfir;8;climate;;
7054;globalclimatestrike;7;climate;;
7056;meteorological;7;climate;;
7074;climatehusting;7;climate;;
7099;postgrowth;7;climate;;
7100;decarbonize;7;climate;;
7113;thunberg;7;climate;;
7119;actionforbolivia;7;climate;;
7120;bolivian;7;climate;;
7121;worldsoilday;7;climate;;
7140;carbonfootprint;7;climate;;
7154;carb;7;climate;;
7182;biodiversityloss;7;climate;;
7210;xrfamilies;7;climate;;
7213;herbicide;7;climate;;
7235;meteorologist;7;climate;;
7269;extractivism;7;climate;;
7308;australiaburne;7;climate;;
7336;airportexpansion;7;climate;;
7337;siemensfuelsfire;7;climate;;
7419;peoplenotprofit;7;climate;;
7426;wilde;7;climate;;
7428;greenhou;7;climate;;
7432;climatedenial;7;climate;;
7447;ecosystems;7;climate;;
7459;bpshutdown;7;climate;;
7470;oneyearzeroaction;7;climate;;
7482;climateheartbreak;7;climate;;
7510;overproduction;7;climate;;
7523;xreasthert;7;climate;;
7533;fossilfue;7;climate;;
7535;peopleassembly;7;climate;;
7560;ecolog;7;climate;;
7576;defundclimatechange;7;climate;;
7610;carblind;7;climate;;
7611;lovetreesaxedrax;7;climate;;
7632;degrowthtalk;7;climate;;
7633;stopfoodwasteday;7;climate;;
7635;unifyingflyingobject;7;climate;;
7107;indige;7;climate;;
7292;dropbp;7;climate;;
7700;hydrocarbon;6;climate;;
7706;makethefuture;6;climate;;
7708;zerowaste;6;climate;;
7709;whereisyourplan;6;climate;;
7710;extinctionrebelli;6;climate;;
7721;expansionrebellion;6;climate;;
7738;greenparty;6;climate;;
7739;voteforclimate;6;climate;;
7761;grubbygrubbybarclay;6;climate;;
7762;dirtiestbritishbank;6;climate;;
7772;solarpanel;6;climate;;
7782;humanbeingnothumanbuying;6;climate;;
7806;extintionrebellion;6;climate;;
7812;overfishing;6;climate;;
7813;displacement;6;climate;;
7819;privatisation;6;climate;;
7850;indigenouspeople;6;climate;;
7863;savetheplanet;6;climate;;
7886;greenhousegas;6;climate;;
7896;consumerist;6;climate;;
7932;mushroom;6;climate;;
7933;hydro;6;climate;;
7937;singleuseplastic;6;climate;;
7938;fossilfuelfree;6;climate;;
7957;rigrebellionii;6;climate;;
7958;peoplelikeus;6;climate;;
8041;savecolnevalley;6;climate;;
8090;radioactive;6;climate;;
8093;climateactivist;6;climate;;
8098;landuse;6;climate;;
8102;seawater;6;climate;;
8113;unleashlocalpotential;6;climate;;
8115;wildcardiffhour;6;climate;;
8121;lovetheplanet;6;climate;;
8138;greenwasher;6;climate;;
8171;pollutionwatch;6;climate;;
8195;loveletterstomotherearth;6;climate;;
8207;indigenousright;6;climate;;
8217;indigenousrights;6;climate;;
8325;climatereframe;6;climate;;
8347;nonviolence;6;climate;;
8350;dearearth;6;climate;;
8354;rebelbookclub;6;climate;;
8369;glacial;6;climate;;
8372;groundwater;6;climate;;
8373;renewabl;6;climate;;
8388;digitalclimatestrike;6;climate;;
8391;worldhealthday;6;climate;;
8395;earthdaysw;6;climate;;
8396;systemcha;6;climate;;
8400;bailouttheplanet;6;climate;;
8404;climatejust;6;climate;;
8413;planetnotprofit;6;climate;;
8426;pesticidefreetown;6;climate;;
8430;agriculturebill;6;climate;;
8438;cleanairforall;6;climate;;
8439;pompeystreetspace;6;climate;;
8480;ourworldisworthsaving;5;climate;;
8491;criticalmass;5;climate;;
8501;cataclysm;5;climate;;
8509;level_rise;5;climate;;
8514;systemchangecrisis;5;climate;;
8546;nofoodnofuture;5;climate;;
8548;ecosyst;5;climate;;
8581;aquaculture;5;climate;;
8584;climateemergenc;5;climate;;
8727;generational;5;climate;;
8743;climateanxiety;5;climate;;
8783;congorainforest;5;climate;;
8785;bushfires;5;climate;;
8787;rainf;5;climate;;
8791;climateemergencycamp;5;climate;;
8798;earthquake;5;climate;;
8808;helpless;5;climate;;
8813;petro;5;climate;;
8831;anthropogenic;5;climate;;
8832;greenest;5;climate;;
8923;carbonneutral;5;climate;;
8931;extinctionorrebellion;5;climate;;
8932;twitternaturecommunity;5;climate;;
8962;afforestation;5;climate;;
8965;airportrebellion;5;climate;;
9023;youthstrikeforclimate;5;climate;;
9030;geologic;5;climate;;
9060;deadcanaries;5;climate;;
9096;redrebelbrigade;5;climate;;
9105;futurehomesstandard;5;climate;;
9119;emergencypanel;5;climate;;
9151;sustainablelive;5;climate;;
9156;fashionactnow;5;climate;;
9208;composting;5;climate;;
9211;planetearth;5;climate;;
9212;pollu;5;climate;;
9215;thereisnoplanetb;5;climate;;
9218;marchfortheirfuture;5;climate;;
9268;biodiversitymatter;5;climate;;
9290;indigenou;5;climate;;
9314;saveourgreenspace;5;climate;;
9315;aerosol;5;climate;;
9334;standforthetrees;5;climate;;
9350;ecologicaljustice;5;climate;;
9352;ecofascist;5;climate;;
9357;climatekindess;5;climate;;
9388;trustthepeople;5;climate;;
9408;moneyrebellion;5;climate;;
9411;worldpenguinday;5;climate;;
9420;fundingclimatechaos;5;climate;;
9447;getsuttoncycling;5;climate;;
9449;biodiversityweek;5;climate;;
9450;anotherworldispo;5;climate;;
9461;decidetogethe;5;climate;;
9464;intergenerational;4;climate;;
9483;votefortheclimate;4;climate;;
9489;zerocarbonbritain;4;climate;;
9492;amphibian;4;climate;;
9495;threedemandsb;4;climate;;
9568;severeweatherwarne;4;climate;;
9587;naturebasedsolution;4;climate;;
9634;hungerstriker;4;climate;;
9635;pedestrianisation;4;climate;;
9641;ourplanet;4;climate;;
9655;takeclimateaction;4;climate;;
9678;regenerativeresistance;4;climate;;
9686;timeforchange;4;climate;;
9691;citizenassemblie;4;climate;;
9694;exctinctionrebellion;4;climate;;
9700;climatechan;4;climate;;
9703;decarbonization;4;climate;;
9709;sustainablefinance;4;climate;;
9749;culturedeclaresemergency;4;climate;;
9759;ourfuturewale;4;climate;;
9769;letrussiastrikeforclimate;4;climate;;
9818;contamination;4;climate;;
9836;australiaburning;4;climate;;
9864;bristolairportexpansion;4;climate;;
9865;endplasticpollution;4;climate;;
9919;communityenergy;4;climate;;
9921;regenerativefarme;4;climate;;
9930;biodi;4;climate;;
9950;climateprot;4;climate;;
9958;australianbu;4;climate;;
9962;rebelagainstyourownextinction;4;climate;;
9986;toxicair;4;climate;;
10000;carfreeday;4;climate;;
10008;emergencytreeplan;4;climate;;
10029;radioactivity;4;climate;;
10057;climatetwitter;4;climate;;
10071;infestation;4;climate;;
10074;climatestriker;4;climate;;
10097;xrycanterbury;4;climate;;
10121;heathrowairport;4;climate;;
10157;carboncapture;4;climate;;
10160;watershed;4;climate;;
10166;decentralisation;4;climate;;
10188;communitiesforfuture;4;climate;;
10189;globalecovillagenetwork;4;climate;;
10190;environmentbill;4;climate;;
10210;climateemerg;4;climate;;
10237;letpompeybreathe;4;climate;;
10241;petrochemical;4;climate;;
10247;weareallcrew;4;climate;;
10248;rebellio;4;climate;;
10285;climatecatastrophe;4;climate;;
10291;ozone;4;climate;;
