;word;frequency_week_1;percent_week_1;frequency_week_2;percent_week_2;frequency_week_3;percent_week_3;frequency_week_4;percent_week_4;frequency_week_5;percent_week_5;frequency_week_6;percent_week_6;frequency_week_7;percent_week_7;frequency_week_8;percent_week_8;frequency_week_9;percent_week_9;frequency_week_10;percent_week_10;frequency_week_11;percent_week_11;frequency_week_12;percent_week_12;frequency_week_13;percent_week_13;frequency_week_14;percent_week_14;frequency_week_15;percent_week_15;frequency_week_16;percent_week_16;frequency_week_17;percent_week_17;frequency_week_18;percent_week_18;frequency_week_19;percent_week_19;frequency_week_20;percent_week_20;frequency_week_21;percent_week_21;frequency_week_22;percent_week_22;frequency_week_23;percent_week_23;frequency_week_24;percent_week_24;frequency_week_25;percent_week_25;frequency_week_26;percent_week_26
20;grassroot;1.0;0.004829751267809708;3.0;0.01372495196266813;0.0;0.0;2.0;0.017752529735487306;0.0;0.0;2.0;0.00776276975624903;3.0;0.010273972602739727;1.0;0.004165451743241554;1.0;0.004737540269092287;2.0;0.005795421616922631;1.0;0.0037418147801683817;2.0;0.006024459304777396;7.0;0.019529070416248184;3.0;0.0076612697277695496;1.0;0.0023177119547582625;2.0;0.004175278177908603;1.0;0.0025516713447307987;2.0;0.0067736909842173;3.0;0.010185373803218578;2.0;0.008126447523465119;1.0;0.00408797318289592;0.0;0.0;3.0;0.0155561317085818;2.0;0.009620935154897056;0.0;0.0;1.0;0.002501125506477915
21;organize_workplace;1.0;0.004829751267809708;0.0;0.0;2.0;0.009328358208955225;0.0;0.0;1.0;0.004485310607759587;1.0;0.003881384878124515;3.0;0.010273972602739727;1.0;0.004165451743241554;0.0;0.0;2.0;0.005795421616922631;1.0;0.0037418147801683817;0.0;0.0;0.0;0.0;2.0;0.005107513151846366;0.0;0.0;5.0;0.010438195444771509;28.0;0.07144679765246237;8.0;0.0270947639368692;30.0;0.1018537380321858;13.0;0.052821908902523265;7.0;0.02861581228027144;12.0;0.04049266070524717;4.0;0.020741508944775732;4.0;0.01924187030979411;5.0;0.02849165194597983;3.0;0.007503376519433746
22;build_mass;0.0;0.0;3.0;0.01372495196266813;1.0;0.004664179104477612;4.0;0.03550505947097461;1.0;0.004485310607759587;3.0;0.011644154634373545;2.0;0.00684931506849315;1.0;0.004165451743241554;2.0;0.009475080538184574;5.0;0.014488554042306579;6.0;0.02245088868101029;1.0;0.003012229652388698;11.0;0.030688539225532864;7.0;0.01787629603146228;12.0;0.02781254345709915;0.0;0.0;0.0;0.0;1.0;0.00338684549210865;1.0;0.0033951246010728593;1.0;0.004063223761732559;0.0;0.0;0.0;0.0;2.0;0.010370754472387866;7.0;0.03367327304213969;0.0;0.0;0.0;0.0
23;unionize;0.0;0.0;2.0;0.009149967975112087;1.0;0.004664179104477612;1.0;0.008876264867743653;0.0;0.0;0.0;0.0;2.0;0.00684931506849315;1.0;0.004165451743241554;5.0;0.023687701345461436;4.0;0.011590843233845263;0.0;0.0;6.0;0.018073377914332188;3.0;0.00836960160696351;6.0;0.015322539455539099;5.0;0.011588559773791312;7.0;0.01461347362268011;2.0;0.0051033426894615975;6.0;0.0203210729526519;1.0;0.0033951246010728593;0.0;0.0;4.0;0.01635189273158368;2.0;0.006748776784207863;0.0;0.0;0.0;0.0;2.0;0.011396660778391932;2.0;0.00500225101295583
24;demonstration;0.0;0.0;2.0;0.009149967975112087;1.0;0.004664179104477612;2.0;0.017752529735487306;14.0;0.06279434850863422;5.0;0.01940692439062257;2.0;0.00684931506849315;5.0;0.020827258716207775;1.0;0.004737540269092287;1.0;0.0028977108084613156;1.0;0.0037418147801683817;0.0;0.0;1.0;0.0027898672023211695;0.0;0.0;2.0;0.004635423909516525;0.0;0.0;2.0;0.0051033426894615975;1.0;0.00338684549210865;1.0;0.0033951246010728593;1.0;0.004063223761732559;3.0;0.01226391954868776;3.0;0.010123165176311793;1.0;0.005185377236193933;0.0;0.0;0.0;0.0;13.0;0.032514631584212896
25;unleash;0.0;0.0;1.0;0.004574983987556043;0.0;0.0;0.0;0.0;2.0;0.008970621215519173;0.0;0.0;0.0;0.0;1.0;0.004165451743241554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.002553756575923183;1.0;0.0023177119547582625;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0033951246010728593;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;democratizecome;0.0;0.0;1.0;0.004574983987556043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.003424657534246575;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0037418147801683817;2.0;0.006024459304777396;0.0;0.0;3.0;0.0076612697277695496;4.0;0.00927084781903305;1.0;0.0020876390889543015;12.0;0.030620056136769585;0.0;0.0;0.0;0.0;2.0;0.008126447523465119;5.0;0.0204398659144796;1.0;0.0033743883921039317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;collective_action;0.0;0.0;1.0;0.004574983987556043;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.003881384878124515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.006262917266862904;2.0;0.0051033426894615975;1.0;0.00338684549210865;2.0;0.0067902492021457185;1.0;0.004063223761732559;1.0;0.00408797318289592;0.0;0.0;0.0;0.0;1.0;0.004810467577448528;0.0;0.0;25.0;0.06252813766194787
28;unstoppable;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.004485310607759587;0.0;0.0;0.0;0.0;3.0;0.012496355229724664;1.0;0.004737540269092287;2.0;0.005795421616922631;3.0;0.011225444340505144;1.0;0.003012229652388698;3.0;0.00836960160696351;1.0;0.002553756575923183;3.0;0.006953135864274787;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.00500225101295583
29;hunger_strike;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.003881384878124515;0.0;0.0;2.0;0.008330903486483108;2.0;0.009475080538184574;6.0;0.017386264850767892;0.0;0.0;0.0;0.0;2.0;0.005579734404642339;0.0;0.0;0.0;0.0;5.0;0.010438195444771509;6.0;0.015310028068384792;3.0;0.01016053647632595;7.0;0.023765872207510013;2.0;0.008126447523465119;0.0;0.0;2.0;0.006748776784207863;0.0;0.0;1.0;0.004810467577448528;1.0;0.005698330389195966;1.0;0.002501125506477915
30;riseup;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.003881384878124515;0.0;0.0;0.0;0.0;1.0;0.004737540269092287;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.002501125506477915
31;jointhemovement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.004165451743241554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;votesocialist;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.006024459304777396;9.0;0.025108804820890524;22.0;0.05618264467031003;4.0;0.00927084781903305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;crowdsource;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0020876390889543015;0.0;0.0;0.0;0.0;1.0;0.0033951246010728593;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;hungerstrike;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.004063223761732559;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;condemn_public;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.0;0.16007203241458656
Total;joinfightsupportstrikedemandvoteactionprotestactivistdonateactgrassrootsabolishrisevotingmass_movementtrysocialismbuild_movementoccupyeverybodyorganizegrassrootorganize_workplacebuild_massunionizedemonstrationunleashdemocratizecomecollective_actionunstoppablehunger_strikeriseupjointhemovementvotesocialistcrowdsourcehungerstrikecondemn_public;652.0;3.1489978266119305;626.0;2.8639399762100832;587.0;2.7378731343283573;268.0;2.3788389845552977;740.0;3.3191298497420965;839.0;3.2564819127464695;806.0;2.760273972602739;595.0;2.4784437872287235;571.0;2.705135493651696;983.0;2.848449724717474;806.0;3.015902712815716;943.0;2.8405325622025424;973.0;2.7145407878584984;1462.0;3.7335921139996935;1177.0;2.727946970750476;1316.0;2.747333041063861;1046.0;2.6690482265884166;895.0;3.0312267154372425;1323.0;4.491749847219392;886.0;3.600016252895048;912.0;3.7282315428010797;1221.0;4.120128226758901;640.0;3.318641431164116;746.0;3.5886088127766027;631.0;3.595646475582654;1693.0;4.234405482467109
